"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"ALPS_EC12E_SW_373";1;"EC12E_SW";;;
2;"JP1";"1X05_90_325";1;"";;;
3;"R1,R2";"R0603_334";2;"4k7";;;
4;"R3";"R0603_334";1;"12k";;;
5;"S1";"TL4XPO_380";1;"TL2285EE";;;
6;"JP4,JP3,JP2";"1X02_90_325";3;"";;;
7;"C1,C2,C3";"C0603_334";3;"100n";;;
